trial_id,class,recorded_date,recorded_time,repository_file,source_file,sha256,source_sha256,copy_hash_match,serial_number,sensor_count,unfiltered_metadata,total_rows,flag_0_rows,flag_1_rows,flag_3_rows,flag_6_rows,flag_7_rows,nonfinite_flag_3_values,qc_status,qc_notes,duplicate_sha_count
blank-5,ambient,7/23/2026,2:39 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-5.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-5.csv,239ba279c724e498bb093be7dc3238d0a29d92f77e1af313536675066172e11d,239ba279c724e498bb093be7dc3238d0a29d92f77e1af313536675066172e11d,True,B210423113,32,True,159,14,20,58,9,58,0,pass,,1
blank-6,ambient,7/23/2026,2:41 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-6.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-6.csv,f4593cc4f43972bb6ef992357f770089f03617695ac3c486cd6b944bbe4df701,f4593cc4f43972bb6ef992357f770089f03617695ac3c486cd6b944bbe4df701,True,B210423113,32,True,152,7,20,58,9,58,0,pass,,1
blank-7,ambient,7/23/2026,2:43 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-7.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-7.csv,8612fea19222303f18aea780c15154cb668836721671a44e4476fcf18303c238,8612fea19222303f18aea780c15154cb668836721671a44e4476fcf18303c238,True,B210423113,32,True,159,14,20,58,9,58,0,pass,,1
blank-8,ambient,7/23/2026,2:44 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-8.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-8.csv,1a214df0a6703fd1ef0f17f1dcf9aaa584393b562a1b1a31c52e5f0bdcf9b345,1a214df0a6703fd1ef0f17f1dcf9aaa584393b562a1b1a31c52e5f0bdcf9b345,True,B210423113,32,True,148,3,20,58,9,58,0,pass,,1
blank-9,ambient,7/23/2026,2:46 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-9.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-9.csv,af313e34c420094a1de036f4c7362fa0389e88d3949f3d4319f2ed77b9784511,af313e34c420094a1de036f4c7362fa0389e88d3949f3d4319f2ed77b9784511,True,B210423113,32,True,161,16,20,58,9,58,0,pass,,1
lavender-1,lavender,7/27/2026,3:12 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-1.csv,C:\Users\dell-xps\smell-tracing\lavender-1.csv,13fc19ba1e22910a8f928cdccf571062c8e3178a01b18aca01f6ac67c077343f,13fc19ba1e22910a8f928cdccf571062c8e3178a01b18aca01f6ac67c077343f,True,B210423113,32,True,149,4,20,58,9,58,0,pass,,1
lavender-10,lavender,7/27/2026,4:7 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-10.csv,C:\Users\dell-xps\smell-tracing\lavender-10.csv,1a465775dca9fe9df6477af8c9c11c1e55432a9d6951704191cccf10f6a97469,1a465775dca9fe9df6477af8c9c11c1e55432a9d6951704191cccf10f6a97469,True,B210423113,32,True,153,8,20,58,9,58,0,pass,,1
lavender-11,lavender,7/27/2026,4:9 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-11.csv,C:\Users\dell-xps\smell-tracing\lavender-11.csv,e0de8e0b7f9ba68a77dc4c43cb9ea7035a4b4f71b2fbccaa9dff5869d6ed87c1,e0de8e0b7f9ba68a77dc4c43cb9ea7035a4b4f71b2fbccaa9dff5869d6ed87c1,True,B210423113,32,True,187,42,20,58,9,58,0,pass,,1
lavender-12,lavender,7/27/2026,4:11 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-12.csv,C:\Users\dell-xps\smell-tracing\lavender-12.csv,7b2e21609e44fa82e69a45bc708ee57b9df0ab1514c0764cfa8306c7cd49a501,7b2e21609e44fa82e69a45bc708ee57b9df0ab1514c0764cfa8306c7cd49a501,True,B210423113,32,True,150,5,20,58,9,58,0,pass,,1
lavender-13,lavender,7/27/2026,4:16 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-13.csv,C:\Users\dell-xps\smell-tracing\lavender-13.csv,2e5fa2d437cb554e387eda5f5240ee7565f1df554cda7271592b9271e89d8854,2e5fa2d437cb554e387eda5f5240ee7565f1df554cda7271592b9271e89d8854,True,B210423113,32,True,155,10,20,58,9,58,0,pass,,1
lavender-14,lavender,7/27/2026,4:26 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-14.csv,C:\Users\dell-xps\smell-tracing\lavender-14.csv,05430aec413165ae67069e408b32d173387fe7b16e8bb0554a39eb1bd42a04a1,05430aec413165ae67069e408b32d173387fe7b16e8bb0554a39eb1bd42a04a1,True,B210423113,32,True,150,5,20,58,9,58,0,pass,,1
lavender-15,lavender,7/27/2026,4:29 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-15.csv,C:\Users\dell-xps\smell-tracing\lavender-15.csv,cf38997e76bf733f6b82c2f32509b917b7ba28f3a73c625ab442c11226e9f0c6,cf38997e76bf733f6b82c2f32509b917b7ba28f3a73c625ab442c11226e9f0c6,True,B210423113,32,True,152,7,20,58,9,58,0,pass,,1
lavender-2,lavender,7/27/2026,3:21 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-2.csv,C:\Users\dell-xps\smell-tracing\lavender-2.csv,0530cea3a22ec2bf990ed9ac57472209d5a2835cc41fa42c95d1622663be36d5,0530cea3a22ec2bf990ed9ac57472209d5a2835cc41fa42c95d1622663be36d5,True,B210423113,32,True,154,9,20,58,9,58,0,pass,,1
lavender-3,lavender,7/27/2026,3:22 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-3.csv,C:\Users\dell-xps\smell-tracing\lavender-3.csv,4670f121e195e75ecb5c4fd7e8da6d3b405847ebe3be3ed0b99741531a12a1d5,4670f121e195e75ecb5c4fd7e8da6d3b405847ebe3be3ed0b99741531a12a1d5,True,B210423113,32,True,151,6,20,58,9,58,0,pass,,1
lavender-4,lavender,7/27/2026,3:24 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-4.csv,C:\Users\dell-xps\smell-tracing\lavender-4.csv,6d5e4a19d1464d9d398cdd36cc7d0e6be48521602417314f9e15fdd21aa8fcfe,6d5e4a19d1464d9d398cdd36cc7d0e6be48521602417314f9e15fdd21aa8fcfe,True,B210423113,32,True,155,10,20,58,9,58,0,pass,,1
lavender-5,lavender,7/27/2026,3:27 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-5.csv,C:\Users\dell-xps\smell-tracing\lavender-5.csv,9cd103ece6ab7aabd0a3577e2176973d25a0799441d5bba108a6cca3b7e6dedb,9cd103ece6ab7aabd0a3577e2176973d25a0799441d5bba108a6cca3b7e6dedb,True,B210423113,32,True,153,8,20,58,9,58,0,pass,,1
lavender-6,lavender,7/27/2026,3:29 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-6.csv,C:\Users\dell-xps\smell-tracing\lavender-6.csv,e286349a0b6403c01ac6c1ca721c80cd49e8babfe5a6a0564a21df53980dfd5b,e286349a0b6403c01ac6c1ca721c80cd49e8babfe5a6a0564a21df53980dfd5b,True,B210423113,32,True,153,8,20,58,9,58,0,pass,,1
lavender-7,lavender,7/27/2026,3:30 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-7.csv,C:\Users\dell-xps\smell-tracing\lavender-7.csv,8af4a6cb9f7f8ab55b1f1aab0f6e726e77bdcc82a549491458707d696b4ccc91,8af4a6cb9f7f8ab55b1f1aab0f6e726e77bdcc82a549491458707d696b4ccc91,True,B210423113,32,True,149,4,20,58,9,58,0,pass,,1
lavender-8,lavender,7/27/2026,4:4 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-8.csv,C:\Users\dell-xps\smell-tracing\lavender-8.csv,83e3b60c6c76a218726832cef816a593ee4c8566a81b37f7e6d4765a85c1a787,83e3b60c6c76a218726832cef816a593ee4c8566a81b37f7e6d4765a85c1a787,True,B210423113,32,True,154,9,20,58,9,58,0,pass,,1
lavender-9,lavender,7/27/2026,4:6 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\lavender\lavender-9.csv,C:\Users\dell-xps\smell-tracing\lavender-9.csv,e78d8d07149714e5cedabeac45f151320c973ee8aba8079ddda40ea9a4d75854,e78d8d07149714e5cedabeac45f151320c973ee8aba8079ddda40ea9a4d75854,True,B210423113,32,True,157,11,21,58,9,58,0,pass_with_warning,"flag 1: 21, expected 20",1
mint-1,mint,7/22/2026,5:40 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-1.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-1.csv,edb0e5177cf17938109b1a624ff1505434c095e21df621d72f0869bbf12b9040,edb0e5177cf17938109b1a624ff1505434c095e21df621d72f0869bbf12b9040,True,B210423113,32,True,152,7,20,58,9,58,0,pass,,1
mint-10,mint,7/22/2026,5:57 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-10.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-10.csv,9ce00695c7f83e009190e2829ce2bcf519280cfc94f423448e64f5ac5b757f7b,9ce00695c7f83e009190e2829ce2bcf519280cfc94f423448e64f5ac5b757f7b,True,B210423113,32,True,159,14,20,58,9,58,0,pass,,1
mint-11,mint,7/23/2026,2:58 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-11.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-11.csv,e80bbed995c49d710dd6f898dca137f613be92ceaa69708a13fcf5a4d32ff87e,e80bbed995c49d710dd6f898dca137f613be92ceaa69708a13fcf5a4d32ff87e,True,B210423113,32,True,151,6,20,58,9,58,0,pass,,1
mint-12,mint,7/23/2026,3:9 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-12.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-12.csv,b2486d0641586219bff691c78a92806d68597cb262df076a190c4bcc81c5d253,b2486d0641586219bff691c78a92806d68597cb262df076a190c4bcc81c5d253,True,B210423113,32,True,151,6,20,58,9,58,0,pass,,1
mint-13,mint,7/23/2026,3:10 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-13.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-13.csv,62fa2eceec9b1a58a75f8b5867ca620857c2c2d35a3333590c06b55e1ab529d2,62fa2eceec9b1a58a75f8b5867ca620857c2c2d35a3333590c06b55e1ab529d2,True,B210423113,32,True,153,8,20,58,9,58,0,pass,,1
mint-14,mint,7/23/2026,3:13 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-14.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-14.csv,df6d963f2e8994a67d85eaa7155f21d8fd1a572f0502c33228969ebba014d741,df6d963f2e8994a67d85eaa7155f21d8fd1a572f0502c33228969ebba014d741,True,B210423113,32,True,151,6,20,58,9,58,0,pass,,1
mint-15,mint,7/23/2026,3:15 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-15.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-15.csv,f5af145cbf9641561e05c85369b9254af7f298f309046d3ecf0856e8ed5e2678,f5af145cbf9641561e05c85369b9254af7f298f309046d3ecf0856e8ed5e2678,True,B210423113,32,True,156,11,20,58,9,58,0,pass,,1
mint-2,mint,7/22/2026,5:42 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-2.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-2.csv,947baad954b55cdc8df56e1d6455e39a233df8f18cc7560cc54eb95d5b3c7c76,947baad954b55cdc8df56e1d6455e39a233df8f18cc7560cc54eb95d5b3c7c76,True,B210423113,32,True,155,10,20,58,9,58,0,pass,,1
mint-3,mint,7/22/2026,5:44 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-3.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-3.csv,627a59a2acb1ef1fb8368bf7cb506560a604521d0f7b1129ecd9709d935974f9,627a59a2acb1ef1fb8368bf7cb506560a604521d0f7b1129ecd9709d935974f9,True,B210423113,32,True,151,6,20,58,9,58,0,pass,,1
mint-4,mint,7/22/2026,5:47 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-4.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-4.csv,c1b225e8412a5e9dd446823f8b80f60b1b5d7aa102053fbf6cee2bb771b3ffe8,c1b225e8412a5e9dd446823f8b80f60b1b5d7aa102053fbf6cee2bb771b3ffe8,True,B210423113,32,True,156,11,20,58,9,58,0,pass,,1
mint-5,mint,7/22/2026,5:49 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-5.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-5.csv,61c1c5c673817f0b802340bf897d5cea1758709fac2db23fbf80a69561536fee,61c1c5c673817f0b802340bf897d5cea1758709fac2db23fbf80a69561536fee,True,B210423113,32,True,159,14,20,58,9,58,0,pass,,1
mint-6,mint,7/22/2026,5:50 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-6.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-6.csv,4dcaa78b08fb93611f255f441c5c9f685b79c1148a46ec52d61e4cbb93b40cbc,4dcaa78b08fb93611f255f441c5c9f685b79c1148a46ec52d61e4cbb93b40cbc,True,B210423113,32,True,169,24,20,58,9,58,0,pass,,1
mint-7,mint,7/22/2026,5:52 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-7.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-7.csv,9bd3815eca0656fa3f39a0a5790e5c1b63d90d34f6ccc89598f505a3ec80c04f,9bd3815eca0656fa3f39a0a5790e5c1b63d90d34f6ccc89598f505a3ec80c04f,True,B210423113,32,True,162,17,20,58,9,58,0,pass,,1
mint-8,mint,7/22/2026,5:54 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-8.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-8.csv,1f8418e2b270f1dcb9dcd8694c8bef3f33396047144f2b975274d8103c9f7b74,1f8418e2b270f1dcb9dcd8694c8bef3f33396047144f2b975274d8103c9f7b74,True,B210423113,32,True,163,18,20,58,9,58,0,pass,,1
mint-9,mint,7/22/2026,5:56 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\mint\mint-9.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-9.csv,d325416f3a7e7a1e290fb0ee502bd958d552d8516c9f93b54640d598a78aa026,d325416f3a7e7a1e290fb0ee502bd958d552d8516c9f93b54640d598a78aa026,True,B210423113,32,True,150,5,20,58,9,58,0,pass,,1
