trial_id,class,recorded_date,recorded_time,copied_file,original_file,sha256,total_rows,flag_0_rows,flag_1_rows,flag_3_rows,flag_6_rows,flag_7_rows,qc_status,qc_notes
bergamot_15,bergamot,6/16/2026,4:27 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_15.csv,C:\Users\dell-xps\smell-tracing\bergamot_15.csv,77fc661c8c786d6a4b807997d1cc07745d6bc15370d0fbf558452476339cf8e1,158,13,20,58,9,58,pass,
bergamot_16,bergamot,6/16/2026,4:37 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_16.csv,C:\Users\dell-xps\smell-tracing\bergamot_16.csv,91c907ea68ff9d4656a2d1af7c0961e361af724977431f963252913c5affb643,166,21,20,58,9,58,pass,
bergamot_17,bergamot,6/16/2026,4:39 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_17.csv,C:\Users\dell-xps\smell-tracing\bergamot_17.csv,f72bb7bd894608398b58202e911d7e7a643cbe1a7768c8fdd3b8db983f22e364,160,15,20,58,9,58,pass,
bergamot_18,bergamot,6/16/2026,4:44 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_18.csv,C:\Users\dell-xps\smell-tracing\bergamot_18.csv,e0e4df4417b136362b19bece06f3aa78853e5f7ff8e9ea6dd97653319f8ba877,170,25,20,58,9,58,pass,
bergamot_19,bergamot,6/16/2026,4:46 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_19.csv,C:\Users\dell-xps\smell-tracing\bergamot_19.csv,4a35be8fb46089ae1bac7996e00395a461d16a94d435e555e10e8aadf55e1cfd,155,10,20,58,9,58,pass,
bergamot_20,bergamot,6/16/2026,4:48 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_20.csv,C:\Users\dell-xps\smell-tracing\bergamot_20.csv,02d44dc25554de5a3742df3324655a5d00a6be80e8fdfe5c529d135813deda03,164,19,20,58,9,58,pass,
blank-1,blank,7/23/2026,2:31 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-1.csv,C:\Users\dell-xps\smell-tracing\blank-1.csv,d579d963036e2b9ea8d8baffe0e41201973ec12d4826177c5a4d564877d933f1,215,70,20,58,9,58,pass,
blank-10,blank,7/23/2026,2:47 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-10.csv,C:\Users\dell-xps\smell-tracing\blank-10.csv,22f21d6cd6c699846b6af7c410cc526650d1a193de78847a24bea6fa07783624,226,82,20,58,9,57,pass_with_warning,"flag 7: 57, expected 58"
blank-11,blank,7/23/2026,2:50 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-11.csv,C:\Users\dell-xps\smell-tracing\blank-11.csv,eb61ebf579a0e437c67b24b5dd72cff0f09f787bce46e0f1c344ad18bac26b3b,154,9,20,58,9,58,pass,
blank-12,blank,7/23/2026,2:51 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-12.csv,C:\Users\dell-xps\smell-tracing\blank-12.csv,dbee51bc61b0ebfaa3e3c53a5cbcc224614b6b930a40dc88e48e4e931a4ff437,162,17,20,58,9,58,pass,
blank-13,blank,7/23/2026,2:53 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-13.csv,C:\Users\dell-xps\smell-tracing\blank-13.csv,f9b1ef76ffd84075d0905c7800ae5e5b235bf5ef4f3f770125feb5eefb3264ce,162,17,20,58,9,58,pass,
blank-14,blank,7/23/2026,2:54 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-14.csv,C:\Users\dell-xps\smell-tracing\blank-14.csv,a19b678bf92522d8bff20e4da00a3709101a7fe027fb2ab8fe7b8b395a5ebdf5,159,14,20,58,9,58,pass,
blank-15,blank,7/23/2026,2:56 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-15.csv,C:\Users\dell-xps\smell-tracing\blank-15.csv,3145350cc28457fbb3169c7295808201444c34eb77a91be76ff3e22aa6c3b222,195,50,20,58,9,58,pass,
blank-2,blank,7/23/2026,2:34 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-2.csv,C:\Users\dell-xps\smell-tracing\blank-2.csv,26eca7dee2220227bb553e125492db4a1b2fb0a380ae85e68b3eba018e4d4990,149,4,20,58,9,58,pass,
blank-3,blank,7/23/2026,2:36 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-3.csv,C:\Users\dell-xps\smell-tracing\blank-3.csv,ff8fdd1b2756727dadab6fd9c53cabaf7655f715698bf9a5bf39305444122c26,194,48,21,58,9,58,pass_with_warning,"flag 1: 21, expected 20"
blank-4,blank,7/23/2026,2:38 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-4.csv,C:\Users\dell-xps\smell-tracing\blank-4.csv,e89ecae41431443773e7b35d7c040ea9f5eabf1e14c730be8d318f9111b136df,148,3,20,58,9,58,pass,
blank-5,blank,7/23/2026,2:39 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-5.csv,C:\Users\dell-xps\smell-tracing\blank-5.csv,239ba279c724e498bb093be7dc3238d0a29d92f77e1af313536675066172e11d,159,14,20,58,9,58,pass,
blank-6,blank,7/23/2026,2:41 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-6.csv,C:\Users\dell-xps\smell-tracing\blank-6.csv,f4593cc4f43972bb6ef992357f770089f03617695ac3c486cd6b944bbe4df701,152,7,20,58,9,58,pass,
blank-7,blank,7/23/2026,2:43 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-7.csv,C:\Users\dell-xps\smell-tracing\blank-7.csv,8612fea19222303f18aea780c15154cb668836721671a44e4476fcf18303c238,159,14,20,58,9,58,pass,
blank-8,blank,7/23/2026,2:44 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-8.csv,C:\Users\dell-xps\smell-tracing\blank-8.csv,1a214df0a6703fd1ef0f17f1dcf9aaa584393b562a1b1a31c52e5f0bdcf9b345,148,3,20,58,9,58,pass,
blank-9,blank,7/23/2026,2:46 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-9.csv,C:\Users\dell-xps\smell-tracing\blank-9.csv,af313e34c420094a1de036f4c7362fa0389e88d3949f3d4319f2ed77b9784511,161,16,20,58,9,58,pass,
lemongrass_01,lemongrass,6/16/2026,3:5 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_01.csv,C:\Users\dell-xps\smell-tracing\lemongrass_01.csv,b85fd9545f39fd695bd691325258b4e52073d366b9d7c7c0bf79fbe9e5dd6b62,177,32,20,58,9,58,pass,
lemongrass_02,lemongrass,6/16/2026,3:10 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_02.csv,C:\Users\dell-xps\smell-tracing\lemongrass_02.csv,c2b1be345d2a9701f3e8f1516ea5b8d1e1303f256d8ed5ada6cbd494e551ab01,170,25,20,58,9,58,pass,
lemongrass_03,lemongrass,6/16/2026,3:12 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_03.csv,C:\Users\dell-xps\smell-tracing\lemongrass_03.csv,43233e0dd8f3e58f85187aee2a78152a52dce9479b3c3adcf7dfe3fcacce0ab5,169,24,20,58,9,58,pass,
lemongrass_04,lemongrass,6/16/2026,3:22 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_04.csv,C:\Users\dell-xps\smell-tracing\lemongrass_04.csv,7acb3fc20dd1fae7620abfaa36101780d2a38542b8e72638d2b4f5b8f8665e20,161,16,20,58,9,58,pass,
lemongrass_05,lemongrass,6/16/2026,3:24 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_05.csv,C:\Users\dell-xps\smell-tracing\lemongrass_05.csv,2542f14b79a5e12c0de99e5ee767855c5a0c8640786b261494ed10419817378c,157,11,21,58,9,58,pass_with_warning,"flag 1: 21, expected 20"
lemongrass_06,lemongrass,6/16/2026,3:38 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_06.csv,C:\Users\dell-xps\smell-tracing\lemongrass_06.csv,57c4ec4fd8c8f132ad0df76d391acd47a434d9ed11cb92d6a4974b93523075db,159,14,20,58,9,58,pass,
lemongrass_07,lemongrass,6/16/2026,3:40 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_07.csv,C:\Users\dell-xps\smell-tracing\lemongrass_07.csv,4015dd481e0e06114f0f1653ee5c296b7d49883f9a124e138c6b77f9dc9605bb,173,28,20,58,9,58,pass,
lemongrass_08,lemongrass,6/16/2026,3:43 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_08.csv,C:\Users\dell-xps\smell-tracing\lemongrass_08.csv,b3237e6c9e5e14cb6fa8957fd0624a9e578fa74ee1caeb883dba9732455bb438,161,15,21,58,9,58,pass_with_warning,"flag 1: 21, expected 20"
lemongrass_09,lemongrass,6/16/2026,3:47 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_09.csv,C:\Users\dell-xps\smell-tracing\lemongrass_09.csv,90cfa52cdd330e761ff7531e05f97799e929b06ac942c97c58d92ec140bab9a7,158,13,20,58,9,58,pass,
lemongrass_10,lemongrass,6/16/2026,3:49 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_10.csv,C:\Users\dell-xps\smell-tracing\lemongrass_10.csv,a72db7f360c98d44ffee28e3e3511647f14ef761b7abb1999a0f280b9e546786,191,45,21,58,9,58,pass_with_warning,"flag 1: 21, expected 20"
lemongrass_11,lemongrass,6/16/2026,3:57 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_11.csv,C:\Users\dell-xps\smell-tracing\lemongrass_11.csv,a0c311646fdec31927820b366addb587cd75d7ca765b5f42dcc60f73f7962350,165,20,20,58,9,58,pass,
lemongrass_12,lemongrass,6/16/2026,4:2 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_12.csv,C:\Users\dell-xps\smell-tracing\lemongrass_12.csv,b28477c423e06be97fc5ff5e6eae6599067583c60b1b64238c7e7364e0dbd7e0,155,10,20,58,9,58,pass,
lemongrass_13,lemongrass,6/16/2026,4:11 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_13.csv,C:\Users\dell-xps\smell-tracing\lemongrass_13.csv,e7c3795a22ebfb43f4746041360f0dc4a799386e40b4d12681014b033dd63b3a,159,14,20,58,9,58,pass,
lemongrass_14,lemongrass,6/16/2026,4:13 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_14.csv,C:\Users\dell-xps\smell-tracing\lemongrass_14.csv,8e6a8dd290a38fad8f65dab0c5cdc716c109d591c9e8df3c6bd6ee48a7c3ff0d,173,28,20,58,9,58,pass,
lemongrass_15,lemongrass,6/16/2026,4:22 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_15.csv,C:\Users\dell-xps\smell-tracing\lemongrass_15.csv,3debf07e8f32ebe2aff4d9e01f0ca552821b771dc4f36e4b6ff0d1c22ae4c8cc,154,9,20,58,9,58,pass,
lemongrass_16,lemongrass,6/16/2026,4:32 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_16.csv,C:\Users\dell-xps\smell-tracing\lemongrass_16.csv,873c2fab4feec990ccbaefae0392e9887ba87039e8f123d021b04486d2c542ac,160,15,20,58,9,58,pass,
lemongrass_17,lemongrass,6/16/2026,4:34 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_17.csv,C:\Users\dell-xps\smell-tracing\lemongrass_17.csv,a31efc78db30e4130490786b71683f9bcb797e1eaccaf1ba42fb89adfe4e8e1d,150,5,20,58,9,58,pass,
lemongrass_18,lemongrass,6/16/2026,4:36 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_18.csv,C:\Users\dell-xps\smell-tracing\lemongrass_18.csv,70bbcb50dec4a015a5fb6c0edc2f6be5c05aba92a293e075e6012b70663d6838,162,17,20,58,9,58,pass,
lemongrass_19,lemongrass,6/16/2026,4:41 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_19.csv,C:\Users\dell-xps\smell-tracing\lemongrass_19.csv,2fe0af102db4dd6308edd63c0df41a33e17f2f80e0b40ab54f07518fc8d291f6,154,9,20,58,9,58,pass,
lemongrass_20,lemongrass,6/16/2026,4:43 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\lemongrass\lemongrass_20.csv,C:\Users\dell-xps\smell-tracing\lemongrass_20.csv,f842ba079f79fc4a1c305177281a5aec3dcd13a42c28105ff180376bc673196d,156,11,20,58,9,58,pass,
mint-1,mint,7/22/2026,5:40 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-1.csv,C:\Users\dell-xps\smell-tracing\mint-1.csv,edb0e5177cf17938109b1a624ff1505434c095e21df621d72f0869bbf12b9040,152,7,20,58,9,58,pass,
mint-10,mint,7/22/2026,5:57 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-10.csv,C:\Users\dell-xps\smell-tracing\mint-10.csv,9ce00695c7f83e009190e2829ce2bcf519280cfc94f423448e64f5ac5b757f7b,159,14,20,58,9,58,pass,
mint-11,mint,7/23/2026,2:58 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-11.csv,C:\Users\dell-xps\smell-tracing\mint-11.csv,e80bbed995c49d710dd6f898dca137f613be92ceaa69708a13fcf5a4d32ff87e,151,6,20,58,9,58,pass,
mint-12,mint,7/23/2026,3:9 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-12.csv,C:\Users\dell-xps\smell-tracing\mint-12.csv,b2486d0641586219bff691c78a92806d68597cb262df076a190c4bcc81c5d253,151,6,20,58,9,58,pass,
mint-13,mint,7/23/2026,3:10 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-13.csv,C:\Users\dell-xps\smell-tracing\mint-13.csv,62fa2eceec9b1a58a75f8b5867ca620857c2c2d35a3333590c06b55e1ab529d2,153,8,20,58,9,58,pass,
mint-14,mint,7/23/2026,3:13 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-14.csv,C:\Users\dell-xps\smell-tracing\mint-14.csv,df6d963f2e8994a67d85eaa7155f21d8fd1a572f0502c33228969ebba014d741,151,6,20,58,9,58,pass,
mint-15,mint,7/23/2026,3:15 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-15.csv,C:\Users\dell-xps\smell-tracing\mint-15.csv,f5af145cbf9641561e05c85369b9254af7f298f309046d3ecf0856e8ed5e2678,156,11,20,58,9,58,pass,
mint-2,mint,7/22/2026,5:42 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-2.csv,C:\Users\dell-xps\smell-tracing\mint-2.csv,947baad954b55cdc8df56e1d6455e39a233df8f18cc7560cc54eb95d5b3c7c76,155,10,20,58,9,58,pass,
mint-3,mint,7/22/2026,5:44 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-3.csv,C:\Users\dell-xps\smell-tracing\mint-3.csv,627a59a2acb1ef1fb8368bf7cb506560a604521d0f7b1129ecd9709d935974f9,151,6,20,58,9,58,pass,
mint-4,mint,7/22/2026,5:47 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-4.csv,C:\Users\dell-xps\smell-tracing\mint-4.csv,c1b225e8412a5e9dd446823f8b80f60b1b5d7aa102053fbf6cee2bb771b3ffe8,156,11,20,58,9,58,pass,
mint-5,mint,7/22/2026,5:49 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-5.csv,C:\Users\dell-xps\smell-tracing\mint-5.csv,61c1c5c673817f0b802340bf897d5cea1758709fac2db23fbf80a69561536fee,159,14,20,58,9,58,pass,
mint-6,mint,7/22/2026,5:50 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-6.csv,C:\Users\dell-xps\smell-tracing\mint-6.csv,4dcaa78b08fb93611f255f441c5c9f685b79c1148a46ec52d61e4cbb93b40cbc,169,24,20,58,9,58,pass,
mint-7,mint,7/22/2026,5:52 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-7.csv,C:\Users\dell-xps\smell-tracing\mint-7.csv,9bd3815eca0656fa3f39a0a5790e5c1b63d90d34f6ccc89598f505a3ec80c04f,162,17,20,58,9,58,pass,
mint-8,mint,7/22/2026,5:54 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-8.csv,C:\Users\dell-xps\smell-tracing\mint-8.csv,1f8418e2b270f1dcb9dcd8694c8bef3f33396047144f2b975274d8103c9f7b74,163,18,20,58,9,58,pass,
mint-9,mint,7/22/2026,5:56 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\mint\mint-9.csv,C:\Users\dell-xps\smell-tracing\mint-9.csv,d325416f3a7e7a1e290fb0ee502bd958d552d8516c9f93b54640d598a78aa026,150,5,20,58,9,58,pass,
